"site","moisture.trt","cumlCO2","gravm"
"BART",20,14.5019481624041,8.4779
"BART",40,42.4608108038839,16.4919
"BART",60,47.8306994045163,24.5059
"BART",80,48.1744336342462,32.5199
"BART",100,43.322312568199,40.5339
"GRSM",20,14.4977883009686,8.4779
"GRSM",40,42.4795523268082,16.4919
"GRSM",60,45.4180255893187,24.5059
"GRSM",80,47.6963305017429,32.5199
"GRSM",100,44.3725821789033,40.5339
"LENO",20,13.8367641773476,8.4779
"LENO",40,42.8116349520856,16.4919
"LENO",60,46.2765867606919,24.5059
"LENO",80,48.2886972685759,32.5199
"LENO",100,42.3202078693669,40.5339
"SERC",20,12.7542991360038,8.4779
"SERC",40,42.3344731838959,16.4919
"SERC",60,43.737820055444,24.5059
"SERC",80,43.9338134346766,32.5199
"SERC",100,41.251691405601,40.5339
"TALL",20,16.8258426709443,8.4779
"TALL",40,40.2433000712328,16.4919
"TALL",60,44.1904418519064,24.5059
"TALL",80,41.6735002020612,32.5199
"TALL",100,43.7029394131521,40.5339
"TREE",20,15.9101170069503,8.4779
"TREE",40,40.4827434566005,16.4919
"TREE",60,46.0464831115998,24.5059
"TREE",80,46.7921500612503,32.5199
"TREE",100,45.1167922781172,40.5339
