Site,TYPE,BAG_C,BAG_N,BAG_CN,BAG_LIG
BART,mean,50.87567568,0.52972973,98.55675676,16.17666667
GRSM,mean,51.59642857,0.846428571,71.72142857,22.98818182
HARV,mean,51.52,0.822916667,64.76666667,26.75736842
LENO,mean,49.20076923,1.093076923,45.93846154,30.18692308
MLBS,mean,51.71578947,1.275263158,42.28947368,30.46411765
OSBS,mean,52.81066667,0.477,159.4466667,29.88590909
SCBI,mean,50.26153846,0.873846154,59.47692308,21.21153846
SERC,mean,49.31916667,0.7125,72.71666667,23.95363636
TALL,mean,50.82885246,0.530655738,128.9491803,27.74701754
TREE,mean,51.44038462,0.756153846,77.32307692,21.585
UNDE,mean,49.81811594,0.840434783,62.70724638,22.36078947
BART,lci,50.44163568,0.500467408,93.39610309,14.49890889
GRSM,lci,50.30259626,0.627495721,53.31425814,19.48124953
HARV,lci,51.09354258,0.757874591,59.53846382,25.40907935
LENO,lci,48.34748541,1.006471367,41.44546804,28.24347298
MLBS,lci,51.24393581,1.165867307,37.05215702,28.23672856
OSBS,lci,52.59295758,0.340927331,134.169241,28.00091291
SCBI,lci,49.75277077,0.77036244,52.317712,19.42998661
SERC,lci,48.30817368,0.625757176,60.21507115,20.72834893
TALL,lci,50.35611562,0.462806435,110.4875329,26.73570564
TREE,lci,50.74759883,0.632154116,67.36687601,18.77346013
UNDE,lci,49.37191319,0.786292994,59.34251422,20.38739415
BART,uci,51.30971567,0.558992052,103.7174104,17.85442445
GRSM,uci,52.89026089,1.065361422,90.128599,26.4951141
HARV,uci,51.94645742,0.887958743,69.99486952,28.10565749
LENO,uci,50.05405305,1.17968248,50.43145504,32.13037318
MLBS,uci,52.18764314,1.384659009,47.52679035,32.69150674
OSBS,uci,53.02837576,0.613072669,184.7240924,31.77090527
SCBI,uci,50.77030616,0.977329867,66.63613416,22.99309031
SERC,uci,50.33015965,0.799242824,85.21826218,27.1789238
TALL,uci,51.30158929,0.59850504,147.4108278,28.75832945
TREE,uci,52.1331704,0.880153577,87.27927784,24.39653987
UNDE,uci,50.26431869,0.894576572,66.07197853,24.3341848
